test_name,iteration,mode,duration_ms,output_bytes,ttfb_ms
shell_cmd_init,1,cold,4.5,11,
shell_open,1,cold,4.0,378,
shell_spawn,1,cold,5.1,31691,
stdout_capture,1,cold,11.4,16,
shell_exec_init,1,cold,21.2,4,
file_edit,1,cold,4.1,0,
git_log_init,1,cold,10.4,156,
git_diff,1,cold,10.3,407,
lookup_capture,1,cold,6.0,4601,
tool_lookup,1,cold,6.3,529,
shell_cmd_init,1,warm,4.2,11,
shell_open,1,warm,3.6,378,
shell_spawn,1,warm,4.8,31691,
stdout_capture,1,warm,11.3,16,
shell_exec_init,1,warm,16.8,4,
file_edit,1,warm,4.1,0,
git_log_init,1,warm,10.3,156,
git_diff,1,warm,11.3,407,
lookup_capture,1,warm,6.4,4601,
tool_lookup,1,warm,5.7,529,
shell_cmd_init,2,warm,4.1,11,
shell_open,2,warm,3.9,378,
shell_spawn,2,warm,5.1,31691,
stdout_capture,2,warm,11.4,16,
shell_exec_init,2,warm,17.1,4,
file_edit,2,warm,4.3,0,
git_log_init,2,warm,11.0,156,
git_diff,2,warm,12.3,407,
lookup_capture,2,warm,6.0,4601,
tool_lookup,2,warm,6.1,529,
cc_baseline,1,warm,3030.4,2,2828.2
cc_bash_tool,1,warm,7667.5,20,7383.0
cc_read_tool,1,warm,6644.2,168,6454.9
cc_edit_tool,1,warm,12490.6,119,12272.8
cc_git_tool,1,warm,19566.7,157,19443.3
cc_multi_tool,1,warm,9881.3,337,9677.0
cc_baseline,2,warm,2701.9,2,2496.3
cc_bash_tool,2,warm,5986.3,20,5778.4
cc_read_tool,2,warm,15518.6,168,15401.2
cc_edit_tool,2,warm,11600.1,169,11392.9
cc_git_tool,2,warm,10614.7,153,10417.7
cc_multi_tool,2,warm,11734.3,101,11573.9
